ASSESSMENT_UNIT_ID,ACTION_PARAM_NAME,ACTION_ID,ACTION_TYPE
UT14060007-015_00,TOTAL DISSOLVED SOLIDS (TDS),11131,TMDL
UT-L-16030002-011_00,"PHOSPHORUS, TOTAL",30891,TMDL
UT-L-16030002-011_00,DISSOLVED OXYGEN,30891,TMDL
UT16030002-004_00,DISSOLVED OXYGEN,900,TMDL
UT16030002-004_00,"PHOSPHORUS, TOTAL",900,TMDL
UT16030002-004_00,SEDIMENT,900,TMDL
UT14060003-004_00,TOTAL DISSOLVED SOLIDS (TDS),4056,TMDL
UT-L-14060007-005_00,"PHOSPHORUS, TOTAL",1060,TMDL
UT-L-14060007-005_00,PH,1060,TMDL
UT-L-14060007-005_00,DISSOLVED OXYGEN,1060,TMDL
UT-L-16010202-013_00,"PHOSPHORUS, TOTAL",11148,TMDL
UT-L-16010202-013_00,DISSOLVED OXYGEN,11148,TMDL
UT16030003-012_00,TOTAL DISSOLVED SOLIDS (TDS),11150,TMDL
UT16030003-012_00,TOTAL DISSOLVED SOLIDS (TDS),11122,TMDL
UT16030003-012_00,"PHOSPHORUS, TOTAL",11122,TMDL
UT16030003-012_00,SEDIMENT,11122,TMDL
UT16030004-005_01,TOTAL DISSOLVED SOLIDS (TDS),11151,TMDL
UT16020101-016_00,DISSOLVED OXYGEN,239,TMDL
UT16020101-016_00,"PHOSPHORUS, TOTAL",239,TMDL
UT16020101-016_00,SEDIMENT,239,TMDL
UT-L-16020102-020_00,DISSOLVED OXYGEN,400,TMDL
UT-L-16020102-020_00,DISSOLVED OXYGEN,39157,TMDL
UT-L-16020102-020_00,"PHOSPHORUS, TOTAL",400,TMDL
UT-L-16020102-020_00,"PHOSPHORUS, TOTAL",39157,TMDL
